,智勇闯关,购物服务,家电电子卖场,家电电子卖场.1,广东省,深圳市,宝安区,113.768216,22.724106
760,格力(中山路店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.479537,22.596814
761,尚海家具,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.47752,22.596461
762,志尚信科技有限公司,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.482214,22.594711
763,顺意鑫五金批发部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.481373,22.597304
764,还原水健康水生活馆,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.481098,22.597006
765,鹏盛家私,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.479142,22.592519
766,思美电器厨具,购物服务,家电电子卖场,综合家电商场,广东省,深圳市,龙岗区,114.481147,22.593519
767,港龙电脑,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.480375,22.596946
768,呈明五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.491796,22.535442
769,杰记机电配件经营部,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.492404,22.532359
770,东江电缆,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.491162,22.534856
771,陈师傅五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.493777,22.534475
772,富民通信(关厂路),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.492903,22.533582
773,龙昇五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.491219,22.534841
774,锋华不锈钢工程部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.490081,22.534654
775,顺友不锈钢,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.490082,22.53468
776,星期五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.49172,22.535334
777,崇鑫装饰材料行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.491403,22.535343
778,奕达建材装饰行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.491292,22.535313
779,大鹏祥发窗帘总汇,购物服务,家居建材市场,布艺市场,广东省,深圳市,龙岗区,114.478945,22.591078
780,丽的布艺,购物服务,家居建材市场,布艺市场,广东省,深圳市,龙岗区,114.478748,22.591276
781,苹果专卖店,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.476746,22.594806
782,全网通手机卖场,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.477129,22.592711
783,锦腾昌装饰,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.481465,22.587074
784,成邦豪华门店,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.479001,22.59083
785,格力中央空调(葵南路店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.482361,22.586453
786,新兴五金材料商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.47982,22.590004
787,PVC管件五金交电,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.526161,22.593132
788,海利五金建材店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.526364,22.593172
789,深圳市大鹏新区伟盈建材店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.522022,22.593276
790,泰兴窗帘布艺,购物服务,家居建材市场,布艺市场,广东省,深圳市,龙岗区,114.479269,22.590453
791,金德利电脑科技,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.475378,22.592035
792,雅兰床垫·床上用品,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.475274,22.591952
793,lenovo联想,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.476542,22.590101
794,金伟兴五金交电商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.479526,22.590215
795,OPPO,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.476818,22.593154
796,时美五金门窗店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.477842,22.591574
797,正泰电工,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.479621,22.590222
798,鑫盛材料批发工程部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.479849,22.589891
799,联塑管道,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.478519,22.590981
800,鸿福玻璃,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.478382,22.591149
801,飞龙五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.478501,22.590991
802,鑫广成系统门窗,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.477566,22.592042
803,剪板折弯展赐不锈钢,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.479846,22.589908
804,开创门窗配件店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.479424,22.59031
805,洪兴建材商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.479082,22.58995
806,杰皓陶瓷建材商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.481389,22.587174
807,方太,购物服务,家居建材市场,厨卫市场,广东省,深圳市,龙岗区,114.476787,22.596234
808,东江发五金装饰材料门市,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.479391,22.590341
809,宏宇陶瓷,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.479567,22.589658
810,顺昌装饰材料行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.478668,22.590804
811,新丰玻璃铝合金不锈钢,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.479401,22.589844
812,西冲五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.529263,22.479935
813,盛兴五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.476797,22.59228
814,华为授权体验店(大鹏佳兆业),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.474703,22.593901
815,深箭户外照明工业照明,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.477797,22.588572
816,生兴五金交电门市部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.478804,22.590711
817,宝朋五金油漆商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.481877,22.587584
818,汤记门窗装饰工程部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.478032,22.590527
819,煌冠卫浴,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.477544,22.588523
820,乔希灯饰,购物服务,家居建材市场,灯具瓷器市场,广东省,深圳市,龙岗区,114.476513,22.590273
821,金东江门窗店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.479442,22.590294
822,惠兴五金水漆卫浴,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.47621,22.589962
823,广兴玻璃装饰门市,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.476135,22.590045
824,嘉兴五金交电行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.476601,22.589991
825,鸿达玻璃装饰部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.475692,22.589249
826,鸿辉五金建材商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.473477,22.595891
827,广兴五金建材门市(迎宾路店),购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.479582,22.590161
828,展赐不锈钢装饰,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.480042,22.58662
829,鹏旺五金建材店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.476114,22.590068
830,成明大理石,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.479324,22.58755
831,恒波(沙井联诚移动专营店),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.483047,22.582758
832,盛昌鸿陶瓷,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.476215,22.589756
833,兴雅窗帘布艺,购物服务,家居建材市场,布艺市场,广东省,深圳市,龙岗区,114.478913,22.587529
834,深圳市大鹏新区翔鑫汇家用电器商行,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.473204,22.590918
835,深圳市大鹏新区鑫泰金建材商行,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.471486,22.597221
836,胜丰门窗装饰经销部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.481955,22.587427
837,永昌达玻璃不锈钢门窗装饰部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.478863,22.587584
838,深圳市友发源五金机电经营部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.471635,22.598119
839,穗丰五金交电行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.478776,22.587604
840,深圳市永祥办公设备有限公司,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.477501,22.588779
841,东涌家园全屋家电馆,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.579277,22.491979
842,新发电器东涌分店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.579291,22.492115
